date,open,high,low,close,volume,Name,range,jaredpolis Vader Sentiment Score
2017-01-27,224.1589,224.325,223.5141,223.7192,59695224,SPY,0.8108999999999753,-0.07701250000000001
2017-01-26,224.1394,224.4423,223.7583,224.071,59970719,SPY,0.6839999999999975,0.011577777777777774
2017-01-25,223.4554,224.3055,223.2698,224.3055,84437712,SPY,1.0356999999999914,-0.10432000000000001
2017-01-24,221.2082,222.8496,221.0812,222.3807,95555295,SPY,1.768400000000014,0.08007500000000001
2017-01-23,221.1593,221.6039,220.1041,220.9639,75061645,SPY,1.4998000000000218,0.23835
2017-01-20,221.5013,222.0973,220.7899,221.5404,129168623,SPY,1.3074000000000012,0.13999999999999999
2017-01-19,221.6381,221.7944,220.2409,220.7294,66608787,SPY,1.5534999999999854,-0.16186250000000002
2017-01-18,221.3401,221.599,220.7196,221.5501,54793302,SPY,0.8793999999999755,0.0
2017-01-17,221.1202,221.5795,220.6219,221.0616,61240814,SPY,0.9575999999999851,0.0
2017-01-13,221.5306,222.1852,221.4915,221.8433,62717865,SPY,0.6937000000000069,-0.0627
2017-01-12,221.3059,221.5501,219.7963,221.3352,72113181,SPY,1.753799999999984,0.2997
2017-01-11,221.1691,221.8921,220.4167,221.8921,74650016,SPY,1.4754000000000076,-0.05618518518518518
2017-01-10,221.2863,222.2341,220.8271,221.2668,63771939,SPY,1.4070000000000107,0.91
2017-01-09,221.7065,221.8629,221.2241,221.2668,46939676,SPY,0.6388000000000034,0.0
2017-01-06,221.3352,222.5272,220.7196,221.9996,71559922,SPY,1.8075999999999794,0.5135799999999999
2017-01-05,221.0812,221.384,220.3093,221.2082,78379012,SPY,1.0746999999999787,0.62635
2017-01-03,219.8794,220.6512,218.7496,220.0748,91366522,SPY,1.901600000000002,-0.04497499999999999
2016-12-30,219.5765,219.6742,217.6223,218.404,108998328,SPY,2.0519000000000176,-0.2732
